id,status_group
38379,functional
54983,functional needs repair
68333,functional
65944,functional
5947,functional
42347,non functional
67371,functional
64048,functional
42733,non functional
4133,non functional
50124,functional
69502,non functional
45876,functional
52402,functional
24691,functional
67950,non functional
19232,functional
65266,non functional
48401,functional
53972,non functional
59369,functional
21737,non functional
13211,non functional
63864,non functional
30174,non functional
70930,non functional
36823,functional
63746,functional
24331,functional
41174,functional
70070,functional
31332,functional
11011,non functional
12245,functional
68493,functional
5946,functional
27334,functional
60626,functional
69018,functional
49196,functional
26839,non functional
58681,functional
70584,functional
6758,functional
65476,functional
63687,non functional
49678,functional
57948,functional
42350,functional
4526,functional
51133,functional
70054,non functional
48080,non functional
12552,non functional
52707,functional
68660,functional
64257,functional
46719,functional
17219,functional
29658,functional
14992,non functional
56386,functional
8757,non functional
13727,functional
22928,non functional
63748,non functional
42195,functional
36067,non functional
54113,functional
59405,non functional
62511,functional
23315,functional
40509,functional
45093,functional
45889,functional
71634,functional
15250,functional
32245,functional needs repair
3777,functional
71658,functional
48546,functional
11957,functional
49862,non functional
38775,functional
66760,functional
61574,non functional
57395,non functional
21830,functional
18225,non functional
25165,functional
67199,functional
22385,functional
4636,functional
35726,functional
6939,non functional
31692,functional
47016,functional
53147,functional
27776,functional
17242,non functional
53218,non functional
60433,functional
48033,functional
58642,functional
7420,functional
11811,non functional
54548,non functional
54848,non functional
32336,non functional
26535,non functional
71856,functional needs repair
53518,functional
11087,functional
14701,functional
11447,non functional
23819,functional
27069,functional
21064,functional
36711,functional
37750,non functional
47102,functional needs repair
13734,non functional
50708,functional
38763,non functional
38220,non functional
5060,functional
29153,functional
53985,functional
6519,functional
47117,functional
20625,non functional
46110,functional
72474,non functional
623,functional
27561,functional
52067,functional
6757,non functional
54596,non functional
67545,functional
51355,functional
28846,non functional
13685,non functional
7863,non functional
55543,non functional
63908,non functional
23407,functional
57452,functional
42339,functional
42491,non functional
27128,functional
28741,non functional
7936,functional needs repair
40427,non functional
64144,non functional
15188,functional
25220,functional
59031,functional
69979,functional
25199,non functional
70644,functional
7841,non functional
32699,non functional
25339,non functional
53106,functional
39953,functional
22679,functional
32012,functional
35007,functional
19409,non functional
54670,functional
36702,functional
57293,non functional
50001,functional
6002,functional
46231,functional
10342,functional
54599,functional
26302,functional
24052,functional
11362,non functional
4554,non functional
3873,functional
1856,non functional
19574,non functional
3843,non functional
71216,functional
42487,functional
19869,functional
71891,functional
5875,functional
63423,non functional
38537,functional needs repair
880,functional
28306,non functional
69377,non functional
492,non functional
11641,functional
69883,functional
8709,functional
8316,functional
32164,functional
49888,functional
17809,functional
71837,functional
36267,functional
64333,functional needs repair
39105,functional
13866,functional
42943,functional
42959,functional
27736,functional
68179,functional
19672,non functional
37322,functional
42431,non functional
25766,functional
70897,functional
61759,non functional
64031,functional
18488,functional
13501,functional
26856,non functional
59448,non functional
56471,non functional
17287,non functional
8080,functional
27799,functional
35558,functional
63978,non functional
45566,functional
61039,functional
71895,functional
968,functional
3995,functional
1604,functional
53188,functional
5562,functional
10976,non functional
18814,functional
43732,non functional
72282,functional
69101,functional
25947,non functional
43149,functional
50383,non functional
49431,functional
45744,functional
18848,functional
711,non functional
6044,functional
2940,non functional
57305,functional
58286,functional needs repair
66643,functional
12756,non functional
15545,non functional
47221,functional
2414,non functional
11497,functional
71236,functional
26174,non functional
14985,non functional
41560,functional
26204,non functional
21623,functional
37757,functional
59179,functional
1981,functional
72237,functional
51820,functional
23732,functional
47193,non functional
5464,non functional
57085,non functional
59694,functional
56708,non functional
3091,functional
37039,functional
13201,non functional
10527,functional needs repair
40666,non functional
47783,non functional
47756,non functional
66682,functional needs repair
11388,functional
1605,non functional
10065,functional
72943,non functional
38507,functional
54163,functional
27790,functional
37114,functional
70237,non functional
47075,functional
61558,functional
28921,non functional
38293,functional
23288,functional
50641,functional
1074,non functional
68641,functional
40102,non functional
51665,functional needs repair
13739,non functional
60171,non functional
18825,functional
7942,functional
60688,non functional
9401,functional
58495,non functional
41985,functional
17569,functional
14438,functional
52390,functional
37241,functional
37507,non functional
2829,functional
34664,non functional
16672,non functional
4778,functional
55567,functional
11871,functional
27571,non functional
13555,functional
23465,functional
28822,functional
50898,functional
53006,functional needs repair
56631,non functional
46988,functional
4672,non functional
35778,functional needs repair
70424,functional
58389,functional
11695,functional
37915,non functional
65995,functional
8988,functional
12598,functional
34130,functional
28032,non functional
72055,functional
14727,non functional
7784,functional
44120,non functional
6424,functional
146,functional
56277,non functional
60410,non functional
61169,non functional
22244,functional
61060,functional
33006,functional
6988,functional
23156,non functional
54772,non functional
19362,functional
60535,non functional
54055,non functional
6171,functional
48519,non functional
33946,functional
68894,functional
36606,functional
72553,functional
13987,non functional
20639,non functional
21896,non functional
25354,functional
24752,functional
7691,functional
61992,non functional
19080,non functional
34305,non functional
36513,functional needs repair
41986,non functional
36255,functional
28016,functional
55033,functional
18928,non functional
44976,functional
7296,non functional
10085,functional
15643,functional
1817,functional
15975,functional
22396,non functional
2547,non functional
24638,non functional
47697,non functional
25000,functional
52461,non functional
49160,functional
42590,non functional
65061,functional
25243,functional
30320,functional
69136,non functional
28993,non functional
25367,non functional
53109,functional
18169,functional
18729,functional
40750,functional
16363,functional
22402,functional
52686,functional
50841,functional
12656,non functional
21315,non functional
32543,functional
73274,functional
20697,functional
5009,functional
19781,non functional
56226,functional
69168,functional
26962,functional
43964,functional
72849,functional
15974,functional
5071,functional
44480,non functional
54327,functional
55560,functional
5563,functional needs repair
44490,functional
4379,non functional
58526,functional
41227,non functional
9069,non functional
32952,non functional
42342,functional
5455,non functional
39280,functional
43079,functional
46510,non functional
17088,functional
61476,functional
44578,functional
46507,functional needs repair
38201,non functional
15306,non functional
20347,functional
72772,functional
52991,functional needs repair
68844,non functional
16923,functional
22283,functional
54056,functional
3968,functional
33094,non functional
20020,functional
25712,non functional
30261,functional
38474,functional
36914,functional
21383,functional
45754,non functional
61131,non functional
11961,non functional
59071,non functional
458,functional
1678,functional needs repair
32502,functional
14763,functional
41826,functional needs repair
17360,functional
62435,non functional
60873,functional
61750,non functional
47384,non functional
11570,functional
5769,non functional
41064,functional
73337,non functional
2296,functional needs repair
30758,functional
11249,non functional
8975,functional
15697,functional
55516,functional
68770,functional
34340,non functional
73545,non functional
21946,functional
20011,functional
12096,functional
52980,non functional
41433,non functional
21810,non functional
8064,functional
72386,functional
6948,functional
61190,functional needs repair
29182,non functional
5277,non functional
21792,functional
34375,non functional
26402,functional
65213,functional
34298,non functional
72359,functional needs repair
19234,functional
1408,non functional
60705,non functional
19262,non functional
61177,functional
15666,non functional
11352,non functional
19595,functional
2523,functional
51714,functional
47206,functional
46752,functional
54871,functional
30036,non functional
24034,functional
7334,functional
70461,functional
74188,non functional
52643,functional
30990,non functional
20637,functional
52547,functional
15529,functional
48505,non functional
5968,functional
17278,functional
55164,functional
21952,functional
30140,functional
23296,functional needs repair
59327,non functional
34823,functional
13244,functional needs repair
14675,functional
36360,functional needs repair
59257,functional
68473,non functional
6592,functional
39088,functional
15044,functional
45312,non functional
25635,functional needs repair
3246,non functional
72352,functional
2427,non functional
15178,functional
32145,non functional
38563,functional
57980,functional
58115,non functional
6905,functional
38261,non functional
46317,functional
47744,functional
4674,functional needs repair
7464,functional
54386,non functional
58753,functional
8734,non functional
20205,functional
57641,functional
3215,non functional
20872,functional
34554,non functional
9793,functional
43016,functional
4435,functional
32760,functional
11879,functional
10835,non functional
24198,non functional
14783,functional
49627,functional
16898,functional
18730,functional
51370,non functional
42001,non functional
45954,functional needs repair
4072,functional
25132,non functional
37522,functional
9850,functional needs repair
11736,functional
72024,non functional
34272,non functional
27733,functional
19274,functional
44507,non functional
70026,functional
21745,functional
47134,non functional
47471,functional
33789,functional
48621,non functional
68054,functional needs repair
50879,functional
60376,non functional
27378,functional
42383,functional
74085,non functional
55074,functional
46138,non functional
27695,functional
30098,functional
25576,non functional
10479,functional
59522,non functional
57162,non functional
17413,non functional
2080,functional
64577,non functional
28942,functional
8686,functional
9182,functional
20207,functional
16679,functional
11991,functional
2484,non functional
58277,functional
51371,functional
32063,functional
69226,functional
47870,non functional
3634,non functional
7061,non functional
46652,non functional
59430,non functional
3948,functional
21067,functional
31713,functional
19346,functional
1775,functional
25178,non functional
30241,non functional
31034,functional needs repair
33553,non functional
53697,non functional
13285,functional
38383,functional
19061,functional
32551,non functional
21065,functional
62237,functional
29950,functional
64684,non functional
6081,functional
3640,non functional
69862,functional
14082,non functional
71302,functional
11549,functional
5116,functional
66603,functional
20685,non functional
44654,functional needs repair
65214,non functional
19542,non functional
20122,functional
15760,functional
69542,functional
8263,non functional
66753,non functional
64690,functional
48178,functional
55522,non functional
38157,non functional
44506,non functional
57174,non functional
46378,non functional
58390,non functional
25232,functional
57258,functional
20382,non functional
26220,functional
89,non functional
16438,functional
11416,non functional
7221,functional
20028,non functional
59420,functional
32185,functional
9770,functional
45510,functional
14924,functional
52979,functional
5291,functional
46549,non functional
45439,functional
69379,functional
30775,non functional
40847,functional
26627,functional
66498,non functional
8465,functional needs repair
782,functional
62372,functional
18829,functional
67735,functional
28909,non functional
44269,functional
5415,functional
5759,functional
22936,functional
66423,non functional
38140,non functional
60313,functional
10242,functional
46865,functional
5589,functional needs repair
21141,functional
32361,functional
25692,non functional
30213,non functional
34176,non functional
18875,functional
19102,functional
51699,functional
63993,functional
53761,non functional
73367,non functional
50957,functional
23014,non functional
66976,non functional
52436,non functional
33848,functional
73056,non functional
3402,non functional
65763,non functional
33725,non functional
66518,functional
13536,non functional
29378,non functional
27291,non functional
59249,functional
4841,non functional
14102,non functional
37723,functional
20279,functional
16855,functional needs repair
30106,functional needs repair
48019,functional
48536,non functional
37967,functional
3236,functional
55345,functional
10355,functional
41454,functional
1741,functional
63429,functional
42642,non functional
65474,functional
9937,functional
4821,functional needs repair
18787,functional
57556,functional
57950,functional
40320,functional
59704,functional
19257,functional
25248,non functional
41336,functional
20182,functional
52629,non functional
7897,functional needs repair
71021,functional needs repair
31727,functional
37557,non functional
36547,non functional
53864,functional needs repair
7229,functional
13315,functional
10465,functional
32508,non functional
24543,functional
11916,functional
23866,functional
11191,non functional
17596,non functional
19273,functional
43652,functional
68467,functional
48901,non functional
64046,functional
33622,functional
68432,functional
62247,non functional
50443,functional needs repair
74236,non functional
1347,functional
55447,functional
16362,non functional
19344,functional
4295,non functional
22881,functional
11010,functional
43140,functional
49775,non functional
34482,functional
72330,functional
13625,functional
5309,non functional
40563,functional needs repair
50709,functional
2834,functional
30624,functional
55188,functional
67538,functional
61508,non functional
39621,non functional
12268,functional
55253,non functional
58598,functional
17659,non functional
54610,functional
57454,functional
60348,functional
42980,functional
66722,functional
71813,functional
44200,non functional
57826,functional
9521,functional
63061,functional
12240,functional
7440,non functional
63483,non functional
21939,non functional
36280,non functional
6354,non functional
46823,functional
5250,functional
72255,functional
2004,functional
2628,functional
66328,functional
11943,non functional
44469,functional
67908,functional
28644,functional
35405,functional
26072,functional needs repair
12040,non functional
73528,non functional
55925,functional
16166,functional
5813,functional
7866,functional
54862,non functional
48436,functional
2756,functional
44054,functional
40419,functional
26897,functional
8126,functional
42971,functional
66050,functional
29501,non functional
37269,functional
45875,functional
51595,non functional
8814,non functional
30978,functional
27909,functional needs repair
29078,non functional
9452,functional
56080,functional
18193,functional
74098,functional
50311,functional
46277,functional
43431,functional
60272,functional
59728,functional
36888,functional
39005,non functional
46499,non functional
14652,functional
40154,functional
26599,functional
43011,functional
43623,functional
25096,functional
52622,functional needs repair
24803,non functional
12449,non functional
51193,functional
63936,functional
41724,functional
17939,non functional
19026,functional
61342,non functional
70420,functional
32528,functional
26603,functional
31672,functional
7856,functional
59436,functional needs repair
58058,functional
72595,functional
32983,functional
49240,functional
66996,functional
54975,functional
7302,functional
3348,functional
65041,functional
35761,non functional
19244,functional
5163,non functional
24425,functional
53230,functional
36453,non functional
31808,functional
50581,non functional
55387,functional
404,functional
26032,non functional
18382,non functional
70718,non functional
22677,functional
69253,functional
70361,functional
55650,functional
66859,functional
36603,non functional
58473,functional
69847,functional
21267,functional
27607,functional
59507,functional
19091,non functional
53537,functional needs repair
2744,functional
6337,non functional
52478,non functional
32103,non functional
58963,functional
35230,functional
12928,functional
56501,functional
51609,functional
2711,non functional
71889,functional
1927,functional
36380,functional
69356,functional
53371,non functional
64719,non functional
43725,non functional
23962,functional
30010,functional
53410,non functional
39444,functional
12696,non functional
61141,non functional
61217,functional
17795,functional
38936,non functional
21685,functional
8575,non functional
43501,functional
73746,non functional
31106,functional
41574,functional
12811,functional
6011,functional needs repair
50675,functional
54036,functional
2091,non functional
38619,functional
69773,functional
14437,non functional
30131,functional
66113,non functional
33224,functional
6854,non functional
55077,functional
54,functional
40354,non functional
26185,functional
1737,functional
60194,non functional
66346,functional
6711,functional
62749,functional
8241,functional
50713,functional
19318,functional
43831,functional
2289,functional
15846,functional
34312,non functional
58337,non functional
34162,functional
59560,functional
13831,functional
30401,functional
27028,non functional
55838,functional
71800,functional
42774,functional
15048,functional
162,functional
1073,non functional
12089,non functional
12538,functional
31636,functional
33153,functional
549,functional
19015,non functional
4392,non functional
29192,functional needs repair
63271,non functional
54980,functional
30026,non functional
63769,functional
11198,functional
56074,functional
46656,non functional
27049,functional
56939,functional needs repair
5644,functional
24302,functional
33084,functional
59428,non functional
73962,functional
26797,functional
60330,functional
50388,functional
42684,non functional
7064,functional
36602,functional
70730,functional
48449,functional
21602,functional
61370,functional
57990,functional
39211,functional
49973,functional
36481,functional
43968,non functional
13358,non functional
5280,non functional
7548,functional
38693,functional
61575,non functional
50509,functional
15627,functional
60226,functional
28167,functional
23803,non functional
20008,functional
53910,functional
9718,non functional
28807,functional
60543,non functional
18127,functional
68633,functional
989,functional
30073,non functional
10053,non functional
34493,functional needs repair
13726,functional
49121,non functional
28288,non functional
62839,non functional
44381,non functional
32975,functional
60941,non functional
66230,functional
27548,functional
37655,functional
62761,non functional
46358,non functional
73565,functional needs repair
14825,functional
68158,functional
64247,functional
35247,functional
38862,non functional
10418,functional
56227,functional
20133,functional
57658,non functional
64972,non functional
5091,functional
27035,functional
70344,functional
41163,functional
46676,functional needs repair
51121,functional
18420,functional
37316,functional
49438,functional
15551,functional
67293,functional
1424,functional
44925,non functional
30658,functional
23410,non functional
34308,functional
32897,functional
49918,functional
33220,functional
65750,functional
68364,functional needs repair
48032,functional
16995,functional
67979,non functional
64367,functional
1863,non functional
32057,functional
46909,non functional
36694,functional
61050,non functional
20567,functional
61562,non functional
52401,non functional
50940,functional
22644,functional needs repair
27725,functional
30242,functional
3368,functional
54180,non functional
69209,functional
14042,functional
30999,functional
41246,non functional
759,non functional
45786,functional
20877,functional
24240,functional
22297,functional
52367,functional
18326,functional
24612,non functional
28122,functional
49547,functional
57169,functional
8518,functional
7655,functional
482,functional
53497,functional
4185,non functional
47107,non functional
26018,non functional
70103,functional
30188,non functional
68613,non functional
24633,functional
39741,functional
54464,functional
55078,functional
63836,non functional
49576,non functional
67011,non functional
37844,functional
59059,functional
62624,non functional
7501,functional
71600,non functional
27475,functional
18103,functional
47995,functional
70968,functional needs repair
26368,functional
57601,non functional
16040,non functional
23537,functional
44691,functional
9806,functional
48800,functional
35972,functional
10567,non functional
52615,functional
57236,non functional
7787,functional
7702,non functional
67291,functional
3084,functional needs repair
56042,non functional
73471,functional
38728,non functional
57501,functional
64705,functional
32420,functional
3620,non functional
21497,functional needs repair
38467,functional
62363,non functional
29254,functional
42936,non functional
121,functional
16477,functional needs repair
43858,functional
35414,functional
67499,non functional
40472,non functional
48281,functional
300,non functional
4004,non functional
36323,non functional
15734,non functional
46244,functional
58909,functional
16357,functional
28287,functional
5108,functional
54979,functional
8434,non functional
23498,functional needs repair
1126,functional
71279,functional
63627,functional
67931,non functional
36495,functional
53399,non functional
25406,functional
33321,functional
4837,non functional
43477,non functional
46257,functional
60479,functional
25018,functional
13818,functional
44471,non functional
61195,non functional
21898,functional
61479,functional
69498,functional
47958,functional needs repair
8804,functional needs repair
38861,functional
45423,non functional
41011,functional
73214,functional
55618,functional
69530,non functional
13176,functional
45138,functional
35008,functional
13751,non functional
39108,functional
19865,functional
3711,non functional
65543,non functional
26359,functional
23382,functional
70653,functional
73849,non functional
64629,functional
70322,non functional
11897,functional needs repair
72979,non functional
33450,non functional
55676,functional
41783,functional
63564,non functional
68661,functional
16628,functional
26100,non functional
53457,functional
41722,functional
63868,non functional
51005,functional
74103,non functional
54044,functional
43124,non functional
70946,non functional
3788,functional
12218,functional
13988,functional
69879,functional
57553,functional
2508,functional
16894,functional
24415,non functional
2997,non functional
69187,functional
16540,functional needs repair
45895,non functional
25091,non functional
41238,functional
63140,functional
43762,functional
64904,functional
59265,functional
51622,functional
4567,functional
70277,functional needs repair
46474,non functional
18977,non functional
56358,non functional
25237,functional
24578,functional
65529,functional
37694,functional
66331,non functional
55430,functional
49059,functional
16712,functional
27616,non functional
72859,functional
36181,functional
28526,non functional
25184,functional
1972,functional
19226,functional
15199,functional
29642,non functional
22600,functional
39730,functional
64858,functional
60361,functional
50572,functional
13157,functional
9011,functional
59148,functional
30550,non functional
3516,functional
43135,functional
5774,functional
8635,functional
27633,functional
17660,functional
62952,non functional
20109,non functional
18678,functional
72755,non functional
62239,non functional
20476,non functional
24391,functional
70332,functional
49849,functional
6088,non functional
25072,non functional
18571,non functional
42438,non functional
54890,non functional
4789,non functional
48971,functional
65190,functional
10368,functional needs repair
3561,functional
48276,functional needs repair
66694,non functional
59896,non functional
808,non functional
27387,non functional
51913,functional
70006,functional
71026,functional
575,functional
54653,functional
52311,non functional
47569,functional
46705,non functional
5605,functional
19861,functional
3698,functional
34840,functional
4304,functional
1310,functional
21009,functional
50863,functional
40318,non functional
26657,functional
19396,non functional
14811,functional
38641,non functional
51161,non functional
50157,functional
18044,functional
73130,functional
27256,non functional
70505,non functional
24475,non functional
15577,functional
55998,functional
4057,functional
6381,functional
61928,functional
39775,non functional
56187,functional
6219,non functional
40321,functional
15239,functional
41711,functional
860,functional
58983,functional
66308,functional
72571,non functional
60026,non functional
302,functional
60221,functional
68663,non functional
34341,functional
2706,functional
33862,functional
17382,non functional
63736,functional
160,functional
29700,non functional
757,functional
73660,functional
36984,functional
628,non functional
29549,functional
60562,non functional
69926,functional
44049,non functional
3842,functional needs repair
70247,non functional
8446,functional
37063,functional
27203,non functional
21754,non functional
47106,functional
30958,non functional
73911,non functional
8356,functional
31699,non functional
71463,functional
45090,functional
53530,non functional
53671,functional
30802,non functional
66519,functional
57933,functional
71515,non functional
66127,functional
2859,functional
67491,non functional
52153,functional
66636,non functional
70699,functional
14747,functional
37854,functional
19828,functional
45852,functional
47296,functional
47300,functional
34123,functional
46341,functional
40137,functional
58738,functional
45712,functional
2794,non functional
65205,non functional
23342,non functional
6123,non functional
71742,non functional
40659,functional
50570,functional
31693,non functional
55276,functional
61853,non functional
25510,functional
71358,functional
1908,non functional
22539,non functional
37891,non functional
70326,non functional
26725,non functional
54236,non functional
44558,functional
27350,non functional
66782,functional
18640,non functional
71699,functional
5511,functional
70032,non functional
67184,functional
41230,non functional
10524,functional
42441,functional
25925,functional
47220,functional
10407,non functional
14759,non functional
49352,functional
17217,functional
70964,functional
41086,functional
39862,functional
51076,non functional
8513,non functional
36131,functional
23942,functional
10299,non functional
31570,non functional
69989,functional needs repair
49093,functional
55010,functional
21481,non functional
28973,functional
6787,non functional
49568,non functional
30787,functional
57049,non functional
57255,functional
24714,non functional
30505,functional
36585,functional
56545,functional
6748,functional
33902,non functional
67812,non functional
67866,non functional
44963,non functional
66801,functional
48027,functional
7700,functional
38488,non functional
54414,functional
39370,non functional
55261,non functional
7677,functional
12236,functional
54199,functional
54195,non functional
47226,functional
3967,non functional
48703,non functional
60502,functional
61170,non functional
9124,functional
14103,non functional
9408,functional
42557,functional
54068,functional
42012,functional
14864,functional
4877,functional
20443,functional
3222,functional
1624,functional
28506,functional
35527,functional
28588,functional
26074,functional
24707,non functional
61095,functional
4894,functional
27328,functional
14744,functional
44447,non functional
49992,non functional
59138,functional needs repair
39170,functional
26565,functional
9842,functional
16994,functional
52333,functional
60491,non functional
5614,non functional
46372,non functional
38520,non functional
21160,functional
54956,functional
37643,non functional
23367,non functional
43031,non functional
72731,functional
26792,non functional
21511,non functional
67175,functional
35219,functional
3820,functional needs repair
3587,non functional
71975,non functional
19049,functional
51731,functional
56096,functional
25585,non functional
23543,functional
26902,functional
47818,functional
9714,functional
61308,functional
49686,functional
25027,functional
41639,non functional
32908,non functional
16670,non functional
32487,non functional
19196,functional
70805,functional
2530,non functional
60828,functional needs repair
15336,non functional
59098,non functional
73678,functional needs repair
67988,functional
57813,non functional
44655,non functional
72199,functional
43216,non functional
2603,functional needs repair
65123,functional
10825,functional
20752,non functional
45334,non functional
51984,functional
68671,functional
17404,functional
68969,functional
44266,non functional
24218,non functional
64735,non functional
63916,functional
4099,functional
51380,functional
45945,functional
